iteration,algorithm,data_type,data_size_bytes,enc_time_us,dec_time_us,enc_throughput_mbs,dec_throughput_mbs,ciphertext_size_bytes,overhead_bytes,overhead_pct,memory_mb
21,AES-GCM,text_short,100,49.583999999999996,45.625,1.923350912403699,2.0902450770547945,116,16,16.0,0.00022125244140625
22,AES-GCM,text_short,100,43.834,42.833999999999996,2.1756497613867087,2.2264423504838446,116,16,16.0,0.00022125244140625
23,AES-GCM,text_short,100,43.708000000000006,42.833,2.181921653716139,2.226494330087199,116,16,16.0,0.00022125244140625
24,AES-GCM,text_short,100,43.666,42.542,2.1840203279582515,2.241724217023765,116,16,16.0,0.00022125244140625
25,AES-GCM,text_short,100,43.75,42.833,2.1798270089285716,2.226494330087199,116,16,16.0,0.00022125244140625
26,AES-GCM,text_short,100,43.5,44.916999999999994,2.1923547503591956,2.123192369050137,116,16,16.0,0.00022125244140625
27,AES-GCM,text_short,100,48.291999999999994,54.416000000000004,1.9748080767130167,1.7525623280032527,116,16,16.0,0.00022125244140625
28,AES-GCM,text_short,100,65.5,86.5,1.4559913227576335,1.1025136605852601,116,16,16.0,0.00022125244140625
29,AES-GCM,text_short,100,80.416,60.708999999999996,1.1859260798923723,1.570894457833682,116,16,16.0,0.00022125244140625
30,AES-GCM,text_short,100,81.458,66.79199999999999,1.1707558697810527,1.4278271595494223,116,16,16.0,0.00022125244140625
1,AES-GCM-SIV,text_medium,350,144.04199999999997,142.125,2.317282533859482,2.3485383341578716,366,16,4.571428571428571,0.000698089599609375
2,AES-GCM-SIV,text_medium,350,135.084,131.459,2.470951487535071,2.539088314548167,366,16,4.571428571428571,0.000698089599609375
3,AES-GCM-SIV,text_medium,350,125.0,110.125,2.6702880859375,3.0309739908484676,366,16,4.571428571428571,0.000698089599609375
4,AES-GCM-SIV,text_medium,350,95.542,95.45800000000001,3.493605019176776,3.496679280334676,366,16,4.571428571428571,0.000698089599609375
5,AES-GCM-SIV,text_medium,350,95.042,104.792,3.5119842884428727,3.1852241654151796,366,16,4.571428571428571,0.000698089599609375
6,AES-GCM-SIV,text_medium,350,119.541,123.459,2.7922303706861036,2.7036182922442875,366,16,4.571428571428571,0.000698089599609375
7,AES-GCM-SIV,text_medium,350,124.66699999999999,123.583,2.6774207347749406,2.7009055512666587,366,16,4.571428571428571,0.000698089599609375
8,AES-GCM-SIV,text_medium,350,127.12499999999999,124.041,2.6256520019051135,2.6909329233252515,366,16,4.571428571428571,0.000698089599609375
9,AES-GCM-SIV,text_medium,350,113.083,94.916,2.9516904463286924,3.516646410954818,366,16,4.571428571428571,0.000698089599609375
10,AES-GCM-SIV,text_medium,350,94.875,97.292,3.518166121129776,3.4307652298461075,366,16,4.571428571428571,0.000698089599609375
11,AES-GCM-SIV,text_medium,350,110.917,98.291,3.0093313986331,3.3958959695413364,366,16,4.571428571428571,0.000698089599609375
12,AES-GCM-SIV,text_medium,350,275.625,294.25,1.2110150049603174,1.1343619736353014,366,16,4.571428571428571,0.000698089599609375
13,AES-GCM-SIV,text_medium,350,103.20899999999999,149.584,3.234078527475196,2.231428566839953,366,16,4.571428571428571,0.000698089599609375
14,AES-GCM-SIV,text_medium,350,251.125,98.666,1.3291628103222997,3.3829891831247596,366,16,4.571428571428571,0.000698089599609375
15,AES-GCM-SIV,text_medium,350,99.667,97.083,3.3490123184422878,3.4381509712533345,366,16,4.571428571428571,0.000698089599609375
16,AES-GCM-SIV,text_medium,350,178.0,180.708,1.8752023075403794,1.8471014606004577,366,16,4.571428571428571,0.000698089599609375
17,AES-GCM-SIV,text_medium,350,103.667,98.708,3.2197903936854306,3.3815497299326043,366,16,4.571428571428571,0.000698089599609375
18,AES-GCM-SIV,text_medium,350,99.625,116.209,3.350424198164994,2.872290534658998,366,16,4.571428571428571,0.000698089599609375
19,AES-GCM-SIV,text_medium,350,178.833,98.375,1.866467658330328,3.3929962972522234,366,16,4.571428571428571,0.000698089599609375
20,AES-GCM-SIV,text_medium,350,107.333,103.458,3.109817211316068,3.226294832126926,366,16,4.571428571428571,0.000698089599609375
21,AES-GCM-SIV,text_medium,350,96.91699999999999,96.208,3.444039856188156,3.4694205340739597,366,16,4.571428571428571,0.000698089599609375
22,AES-GCM-SIV,text_medium,350,96.083,98.958,3.4739341063683224,3.37300683868093,366,16,4.571428571428571,0.000698089599609375
23,AES-GCM-SIV,text_medium,350,96.542,96.083,3.457417608317494,3.4739341063683224,366,16,4.571428571428571,0.000698089599609375
24,AES-GCM-SIV,text_medium,350,105.375,96.291,3.167601525430012,3.466429995972495,366,16,4.571428571428571,0.000698089599609375
25,AES-GCM-SIV,text_medium,350,99.709,96.208,3.3476016281598198,3.4694205340739597,366,16,4.571428571428571,0.000698089599609375
26,AES-GCM-SIV,text_medium,350,96.292,96.75,3.466393996824113,3.449984607154393,366,16,4.571428571428571,0.000698089599609375
27,AES-GCM-SIV,text_medium,350,100.542,96.292,3.3198664313638826,3.466393996824113,366,16,4.571428571428571,0.000698089599609375
28,AES-GCM-SIV,text_medium,350,99.292,95.875,3.3616606649295764,3.481470776971969,366,16,4.571428571428571,0.000698089599609375
29,AES-GCM-SIV,text_medium,350,96.667,96.167,3.4529468251025426,3.4708996926407965,366,16,4.571428571428571,0.000698089599609375
30,AES-GCM-SIV,text_medium,350,98.916,96.459,3.3744390264687967,3.460392609732503,366,16,4.571428571428571,0.000698089599609375
1,AES-GCM,text_medium,350,81.833,78.292,4.078868069631903,4.263347605658145,366,16,4.571428571428571,0.000698089599609375
2,AES-GCM,text_medium,350,79.083,78.70899999999999,4.220704964937945,4.240760405318166,366,16,4.571428571428571,0.000698089599609375
3,AES-GCM,text_medium,350,78.75,78.5,4.238552517361111,4.252051092257166,366,16,4.571428571428571,0.000698089599609375
4,AES-GCM,text_medium,350,86.29100000000001,78.959,3.868143963358722,4.227333308960188,366,16,4.571428571428571,0.000698089599609375
5,AES-GCM,text_medium,350,81.792,78.75,4.080912690020876,4.238552517361111,366,16,4.571428571428571,0.000698089599609375
6,AES-GCM,text_medium,350,78.917,78.334,4.229583115706216,4.261061745119457,366,16,4.571428571428571,0.000698089599609375
7,AES-GCM,text_medium,350,79.125,81.042,4.218464590738547,4.118679335926896,366,16,4.571428571428571,0.000698089599609375
8,AES-GCM,text_medium,350,78.833,78.083,4.2340899209999305,4.274759047964185,366,16,4.571428571428571,0.000698089599609375
9,AES-GCM,text_medium,350,78.834,78.54100000000001,4.234036212068238,4.2498314350745146,366,16,4.571428571428571,0.000698089599609375
10,AES-GCM,text_medium,350,79.167,78.166,4.2162265936840795,4.270219926082792,366,16,4.571428571428571,0.000698089599609375
11,AES-GCM,text_medium,350,79.042,78.125,4.222894293441303,4.2724609375,366,16,4.571428571428571,0.000698089599609375
12,AES-GCM,text_medium,350,78.875,78.125,4.231835318442948,4.2724609375,366,16,4.571428571428571,0.000698089599609375
13,AES-GCM,text_medium,350,82.459,77.958,4.047902724289496,4.281613314120263,366,16,4.571428571428571,0.000698089599609375
14,AES-GCM,text_medium,350,78.875,83.459,4.231835318442948,3.999401032149768,366,16,4.571428571428571,0.000698089599609375
15,AES-GCM,text_medium,350,81.125,78.209,4.114465463694145,4.267872121395076,366,16,4.571428571428571,0.000698089599609375
16,AES-GCM,text_medium,350,81.583,77.958,4.091367205694661,4.281613314120263,366,16,4.571428571428571,0.000698089599609375
17,AES-GCM,text_medium,350,87.291,78.875,3.8238307585224995,4.231835318442948,366,16,4.571428571428571,0.000698089599609375
18,AES-GCM,text_medium,350,79.167,78.54100000000001,4.2162265936840795,4.2498314350745146,366,16,4.571428571428571,0.000698089599609375
19,AES-GCM,text_medium,350,82.0,79.375,4.070561106612042,4.205178088090551,366,16,4.571428571428571,0.000698089599609375
20,AES-GCM,text_medium,350,80.25,87.292,4.159327236662772,3.823786953468674,366,16,4.571428571428571,0.000698089599609375
21,AES-GCM,text_medium,350,86.75,79.042,3.847677357258646,4.222894293441303,366,16,4.571428571428571,0.000698089599609375
22,AES-GCM,text_medium,350,79.458,78.625,4.200785455739982,4.245291074622417,366,16,4.571428571428571,0.000698089599609375
23,AES-GCM,text_medium,350,79.458,78.54199999999999,4.200785455739982,4.249777326044505,366,16,4.571428571428571,0.000698089599609375
24,AES-GCM,text_medium,350,79.459,78.291,4.200732588406442,4.2634020608012095,366,16,4.571428571428571,0.000698089599609375
25,AES-GCM,text_medium,350,79.25,79.83300000000001,4.211810861100157,4.181053082587244,366,16,4.571428571428571,0.000698089599609375
26,AES-GCM,text_medium,350,81.0,79.20899999999999,4.120814947434414,4.2139909699931515,366,16,4.571428571428571,0.000698089599609375
27,AES-GCM,text_medium,350,79.625,78.875,4.191975017170329,4.231835318442948,366,16,4.571428571428571,0.000698089599609375
28,AES-GCM,text_medium,350,79.084,81.25,4.220651595040558,4.108135516826923,366,16,4.571428571428571,0.000698089599609375
29,AES-GCM,text_medium,350,79.125,78.333,4.218464590738547,4.261116141883849,366,16,4.571428571428571,0.000698089599609375
30,AES-GCM,text_medium,350,82.583,79.042,4.041824718673183,4.222894293441303,366,16,4.571428571428571,0.000698089599609375
1,AES-GCM-SIV,text_long,2000,333.75,333.084,5.714902270599251,5.72632919267362,2016,16,0.8,0.00384521484375
2,AES-GCM-SIV,text_long,2000,343.54200000000003,324.041,5.552010038983588,5.8861336460895375,2016,16,0.8,0.00384521484375
3,AES-GCM-SIV,text_long,2000,345.91700000000003,331.0,5.513890999322092,5.76238257647281,2016,16,0.8,0.00384521484375
4,AES-GCM-SIV,text_long,2000,317.33299999999997,315.79200000000003,6.010558727937214,6.039889018127438,2016,16,0.8,0.00384521484375
5,AES-GCM-SIV,text_long,2000,326.79200000000003,325.958,5.836583003294144,5.851516553704772,2016,16,0.8,0.00384521484375
6,AES-GCM-SIV,text_long,2000,345.0,384.25,5.528546761775362,4.963822076284971,2016,16,0.8,0.00384521484375
7,AES-GCM-SIV,text_long,2000,359.75,324.25,5.301872502605977,5.882339654009252,2016,16,0.8,0.00384521484375
8,AES-GCM-SIV,text_long,2000,415.625,375.75,4.589109492481203,5.076110799234864,2016,16,0.8,0.00384521484375
9,AES-GCM-SIV,text_long,2000,326.25,338.916,5.846279334291188,5.627791643984056,2016,16,0.8,0.00384521484375
10,AES-GCM-SIV,text_long,2000,409.875,369.041,4.653488582647149,5.168392218784634,2016,16,0.8,0.00384521484375
11,AES-GCM-SIV,text_long,2000,651.4169999999999,861.6659999999999,2.9279994731677252,2.2135591201376172,2016,16,0.8,0.00384521484375
12,AES-GCM-SIV,text_long,2000,369.417,327.125,5.163131725969569,5.830641598204051,2016,16,0.8,0.00384521484375
13,AES-GCM-SIV,text_long,2000,326.25,331.75,5.846279334291188,5.749355336284853,2016,16,0.8,0.00384521484375
14,AES-GCM-SIV,text_long,2000,325.16700000000003,326.625,5.865750930483413,5.839567188097972,2016,16,0.8,0.00384521484375
15,AES-GCM-SIV,text_long,2000,325.45799999999997,326.542,5.860506218352292,5.841051481317871,2016,16,0.8,0.00384521484375
16,AES-GCM-SIV,text_long,2000,338.833,333.75,5.629170218994313,5.714902270599251,2016,16,0.8,0.00384521484375
17,AES-GCM-SIV,text_long,2000,323.709,321.709,5.892170538392507,5.928800974832846,2016,16,0.8,0.00384521484375
18,AES-GCM-SIV,text_long,2000,321.875,324.20799999999997,5.925743325242719,5.8831016903114675,2016,16,0.8,0.00384521484375
19,AES-GCM-SIV,text_long,2000,322.0,327.5,5.923442959045031,5.823965291030534,2016,16,0.8,0.00384521484375
20,AES-GCM-SIV,text_long,2000,325.417,321.459,5.861244596356368,5.933411827985839,2016,16,0.8,0.00384521484375
21,AES-GCM-SIV,text_long,2000,321.125,320.45799999999997,5.939583130595563,5.951945755176966,2016,16,0.8,0.00384521484375
22,AES-GCM-SIV,text_long,2000,324.209,321.875,5.883083544295501,5.925743325242719,2016,16,0.8,0.00384521484375
23,AES-GCM-SIV,text_long,2000,321.584,326.041,5.931105505287888,5.850026937754761,2016,16,0.8,0.00384521484375
24,AES-GCM-SIV,text_long,2000,324.0,323.292,5.886878496334877,5.899770587618933,2016,16,0.8,0.00384521484375
25,AES-GCM-SIV,text_long,2000,356.209,338.75,5.354577320653044,5.630549469557195,2016,16,0.8,0.00384521484375
26,AES-GCM-SIV,text_long,2000,339.083,318.75,5.625019929670612,5.983838848039215,2016,16,0.8,0.00384521484375
27,AES-GCM-SIV,text_long,2000,317.79200000000003,316.916,6.0018774318186106,6.018467457662283,2016,16,0.8,0.00384521484375
28,AES-GCM-SIV,text_long,2000,321.45799999999997,315.875,5.933430285799389,6.038301963791056,2016,16,0.8,0.00384521484375
29,AES-GCM-SIV,text_long,2000,317.04200000000003,319.458,6.016075576146062,5.970577142574298,2016,16,0.8,0.00384521484375
30,AES-GCM-SIV,text_long,2000,342.416,316.208,5.570267256239486,6.031943002114114,2016,16,0.8,0.00384521484375
1,AES-GCM,text_long,2000,344.916,334.334,5.5298931705473215,5.704919729409812,2016,16,0.8,0.00384521484375
2,AES-GCM,text_long,2000,342.459,339.83299999999997,5.569567839690299,5.6126056998952425,2016,16,0.8,0.00384521484375
3,AES-GCM,text_long,2000,428.625,682.5419999999999,4.4499239027413235,2.7944780435672825,2016,16,0.8,0.00384521484375
4,AES-GCM,text_long,2000,495.75,506.042,3.8474001670448814,3.7691508467923613,2016,16,0.8,0.00384521484375
5,AES-GCM,text_long,2000,350.25,353.833,5.445677752498216,5.39053347995382,2016,16,0.8,0.00384521484375
6,AES-GCM,text_long,2000,337.334,336.625,5.654184377538285,5.666093227812848,2016,16,0.8,0.00384521484375
7,AES-GCM,text_long,2000,335.875,340.79200000000003,5.678745464272422,5.596811641155015,2016,16,0.8,0.00384521484375
8,AES-GCM,text_long,2000,339.5,335.58299999999997,5.61811084775405,5.683686696919987,2016,16,0.8,0.00384521484375
9,AES-GCM,text_long,2000,346.416,335.167,5.505948434288543,5.690741131473266,2016,16,0.8,0.00384521484375
10,AES-GCM,text_long,2000,335.625,335.292,5.682975442271881,5.68861956984509,2016,16,0.8,0.00384521484375
11,AES-GCM,text_long,2000,341.541,335.625,5.584537823606829,5.682975442271881,2016,16,0.8,0.00384521484375
12,AES-GCM,text_long,2000,337.75,348.416,5.6472202303849,5.4743428338896605,2016,16,0.8,0.00384521484375
13,AES-GCM,text_long,2000,337.875,336.0,5.645130988716241,5.676632835751488,2016,16,0.8,0.00384521484375
14,AES-GCM,text_long,2000,336.209,337.583,5.673104029970941,5.650013871588616,2016,16,0.8,0.00384521484375
15,AES-GCM,text_long,2000,335.833,334.75,5.679455660439861,5.697830120425691,2016,16,0.8,0.00384521484375
16,AES-GCM,text_long,2000,335.666,388.91700000000003,5.6822812939424905,4.904256262422316,2016,16,0.8,0.00384521484375
17,AES-GCM,text_long,2000,346.20799999999997,340.125,5.5092563800157714,5.60778723355384,2016,16,0.8,0.00384521484375
18,AES-GCM,text_long,2000,338.042,363.333,5.642342172903072,5.249588209197898,2016,16,0.8,0.00384521484375
19,AES-GCM,text_long,2000,331.20799999999997,330.75,5.75876377627503,5.766738118858655,2016,16,0.8,0.00384521484375
20,AES-GCM,text_long,2000,335.458,336.25,5.685804580044297,5.6724122908921935,2016,16,0.8,0.00384521484375
21,AES-GCM,text_long,2000,337.542,333.41700000000003,5.650700158239568,5.720610025321144,2016,16,0.8,0.00384521484375
22,AES-GCM,text_long,2000,336.375,330.91700000000003,5.670304371051654,5.763827886788832,2016,16,0.8,0.00384521484375
23,AES-GCM,text_long,2000,331.20799999999997,332.83299999999997,5.75876377627503,5.730647600485829,2016,16,0.8,0.00384521484375
24,AES-GCM,text_long,2000,335.0,330.29100000000005,5.693578008395522,5.774752060493625,2016,16,0.8,0.00384521484375
25,AES-GCM,text_long,2000,335.958,336.875,5.677342503564433,5.661888334879406,2016,16,0.8,0.00384521484375
26,AES-GCM,text_long,2000,345.666,495.875,5.517894825677098,3.8464303157297706,2016,16,0.8,0.00384521484375
27,AES-GCM,text_long,2000,542.7090000000001,420.959,3.5144960426536134,4.530960575287617,2016,16,0.8,0.00384521484375
28,AES-GCM,text_long,2000,352.875,355.209,5.405167928622033,5.369651762237162,2016,16,0.8,0.00384521484375
29,AES-GCM,text_long,2000,342.584,335.041,5.5675356491035775,5.692881267703057,2016,16,0.8,0.00384521484375
30,AES-GCM,text_long,2000,336.08299999999997,338.792,5.675230918590051,5.629851451074701,2016,16,0.8,0.00384521484375
1,AES-GCM-SIV,image_small,76301,11311.875,11487.375,6.4327358652843385,6.334458831204978,76317,16,0.020969581001559615,0.14556312561035156
2,AES-GCM-SIV,image_small,76301,11254.0,10753.917,6.465816955403704,6.766492991912926,76317,16,0.020969581001559615,0.14556312561035156
3,AES-GCM-SIV,image_small,76301,11348.125,11152.917,6.412187389204232,6.524419039083074,76317,16,0.020969581001559615,0.14556312561035156
4,AES-GCM-SIV,image_small,76301,10732.583,11320.25,6.779943282629473,6.427976768720945,76317,16,0.020969581001559615,0.14556312561035156
5,AES-GCM-SIV,image_small,76301,11083.125,10734.417,6.565504225217462,6.778784913620673,76317,16,0.020969581001559615,0.14556312561035156
6,AES-GCM-SIV,image_small,76301,11256.75,11128.5,6.464237370121331,6.538734242360901,76317,16,0.020969581001559615,0.14556312561035156
7,AES-GCM-SIV,image_small,76301,10749.625,11392.416000000001,6.769194647823833,6.387258331868611,76317,16,0.020969581001559615,0.14556312561035156
8,AES-GCM-SIV,image_small,76301,11085.542,10694.041,6.564072736913836,6.804378626948717,76317,16,0.020969581001559615,0.14556312561035156
9,AES-GCM-SIV,image_small,76301,11289.125,11067.125,6.445699203092647,6.574996127369419,76317,16,0.020969581001559615,0.14556312561035156
10,AES-GCM-SIV,image_small,76301,10719.708,11181.375,6.788086393408597,6.507813575353056,76317,16,0.020969581001559615,0.14556312561035156
11,AES-GCM-SIV,image_small,76301,11092.958999999999,10789.792,6.559683851361326,6.74399506645849,76317,16,0.020969581001559615,0.14556312561035156
12,AES-GCM-SIV,image_small,76301,11125.25,11114.083,6.5406443914620604,6.547216177539188,76317,16,0.020969581001559615,0.14556312561035156
13,AES-GCM-SIV,image_small,76301,10861.5,11121.125,6.699470976947317,6.543070419234859,76317,16,0.020969581001559615,0.14556312561035156
14,AES-GCM-SIV,image_small,76301,11065.292,10843.833,6.576085295906632,6.710385895477483,76317,16,0.020969581001559615,0.14556312561035156
15,AES-GCM-SIV,image_small,76301,11118.0,11018.834,6.544909517549315,6.603811620731674,76317,16,0.020969581001559615,0.14556312561035156
16,AES-GCM-SIV,image_small,76301,10727.834,11071.707999999999,6.782944629466981,6.572274487018018,76317,16,0.020969581001559615,0.14556312561035156
17,AES-GCM-SIV,image_small,76301,11045.0,10801.583999999999,6.5881669548314425,6.736632702769639,76317,16,0.020969581001559615,0.14556312561035156
18,AES-GCM-SIV,image_small,76301,10979.875,10946.832999999999,6.627243389939619,6.647247109379789,76317,16,0.020969581001559615,0.14556312561035156
19,AES-GCM-SIV,image_small,76301,10781.666000000001,10994.667,6.749077926928295,6.6183272322948286,76317,16,0.020969581001559615,0.14556312561035156
20,AES-GCM-SIV,image_small,76301,10773.417000000001,11040.625,6.754245567224705,6.590777606893929,76317,16,0.020969581001559615,0.14556312561035156
21,AES-GCM-SIV,image_small,76301,11055.625,10715.625,6.581835401988878,6.790672874061316,76317,16,0.020969581001559615,0.14556312561035156
22,AES-GCM-SIV,image_small,76301,11242.833,11044.833,6.47223916037117,6.588266569183371,76317,16,0.020969581001559615,0.14556312561035156
23,AES-GCM-SIV,image_small,76301,10752.875,11268.125,6.767148694289972,6.457711821275791,76317,16,0.020969581001559615,0.14556312561035156
24,AES-GCM-SIV,image_small,76301,11158.209,10930.917,6.521324705077067,6.656925856825487,76317,16,0.020969581001559615,0.14556312561035156
25,AES-GCM-SIV,image_small,76301,11398.75,11270.167,6.383709092322692,6.4565417722837015,76317,16,0.020969581001559615,0.14556312561035156
26,AES-GCM-SIV,image_small,76301,11069.458,11018.916,6.573610380572678,6.603762476827419,76317,16,0.020969581001559615,0.14556312561035156
27,AES-GCM-SIV,image_small,76301,11118.209,10806.416,6.5447864863948215,6.733620472885116,76317,16,0.020969581001559615,0.14556312561035156
28,AES-GCM-SIV,image_small,76301,11155.666,11381.832999999999,6.522811279587725,6.393197301007078,76317,16,0.020969581001559615,0.14556312561035156
29,AES-GCM-SIV,image_small,76301,10896.75,10993.25,6.677798794696884,6.619180316659158,76317,16,0.020969581001559615,0.14556312561035156
30,AES-GCM-SIV,image_small,76301,11091.792,10713.708,6.560374014957483,6.791887926767584,76317,16,0.020969581001559615,0.14556312561035156
1,AES-GCM,image_small,76301,12655.332999999999,12609.417,5.749852968397851,5.770790514431657,76317,16,0.020969581001559615,0.14556312561035156
2,AES-GCM,image_small,76301,12577.042,12159.042,5.785645306433205,5.984542533541152,76317,16,0.020969581001559615,0.14556312561035156
3,AES-GCM,image_small,76301,12942.291,12787.042,5.6223665513403525,5.69062837332616,76317,16,0.020969581001559615,0.14556312561035156
4,AES-GCM,image_small,76301,12740.875,12508.25,5.711248561508788,5.8174647945246765,76317,16,0.020969581001559615,0.14556312561035156
5,AES-GCM,image_small,76301,13407.875,13309.334,5.4271317428088555,5.4673136924892916,76317,16,0.020969581001559615,0.14556312561035156
6,AES-GCM,image_small,76301,12641.457999999999,12734.0,5.756163886801134,5.714332025766709,76317,16,0.020969581001559615,0.14556312561035156
