iteration,algorithm,data_type,data_size_bytes,enc_time_us,dec_time_us,enc_throughput_mbs,dec_throughput_mbs,ciphertext_size_bytes,overhead_bytes,overhead_pct
29,aes-gcm,text_short,100,46,46,2.0732050356657608,2.0732050356657608,116,16,16.0
30,aes-gcm,text_short,100,46,46,2.0732050356657608,2.0732050356657608,116,16,16.0
1,aes-gcm-siv,text_medium,350,104,102,3.2094808725210338,3.272411870021446,366,16,4.571428571428571
2,aes-gcm-siv,text_medium,350,101,102,3.304811987546411,3.272411870021446,366,16,4.571428571428571
3,aes-gcm-siv,text_medium,350,101,101,3.304811987546411,3.304811987546411,366,16,4.571428571428571
4,aes-gcm-siv,text_medium,350,101,101,3.304811987546411,3.304811987546411,366,16,4.571428571428571
5,aes-gcm-siv,text_medium,350,99,99,3.3715758660827024,3.3715758660827024,366,16,4.571428571428571
6,aes-gcm-siv,text_medium,350,100,99,3.337860107421875,3.3715758660827024,366,16,4.571428571428571
7,aes-gcm-siv,text_medium,350,99,98,3.3715758660827024,3.405979701450893,366,16,4.571428571428571
8,aes-gcm-siv,text_medium,350,98,98,3.405979701450893,3.405979701450893,366,16,4.571428571428571
9,aes-gcm-siv,text_medium,350,98,98,3.405979701450893,3.405979701450893,366,16,4.571428571428571
10,aes-gcm-siv,text_medium,350,98,99,3.405979701450893,3.3715758660827024,366,16,4.571428571428571
11,aes-gcm-siv,text_medium,350,98,98,3.405979701450893,3.405979701450893,366,16,4.571428571428571
12,aes-gcm-siv,text_medium,350,98,99,3.405979701450893,3.3715758660827024,366,16,4.571428571428571
13,aes-gcm-siv,text_medium,350,99,99,3.3715758660827024,3.3715758660827024,366,16,4.571428571428571
14,aes-gcm-siv,text_medium,350,98,99,3.405979701450893,3.3715758660827024,366,16,4.571428571428571
15,aes-gcm-siv,text_medium,350,98,98,3.405979701450893,3.405979701450893,366,16,4.571428571428571
16,aes-gcm-siv,text_medium,350,98,98,3.405979701450893,3.405979701450893,366,16,4.571428571428571
17,aes-gcm-siv,text_medium,350,98,99,3.405979701450893,3.3715758660827024,366,16,4.571428571428571
18,aes-gcm-siv,text_medium,350,99,98,3.3715758660827024,3.405979701450893,366,16,4.571428571428571
19,aes-gcm-siv,text_medium,350,99,99,3.3715758660827024,3.3715758660827024,366,16,4.571428571428571
20,aes-gcm-siv,text_medium,350,98,98,3.405979701450893,3.405979701450893,366,16,4.571428571428571
21,aes-gcm-siv,text_medium,350,99,98,3.3715758660827024,3.405979701450893,366,16,4.571428571428571
22,aes-gcm-siv,text_medium,350,98,99,3.405979701450893,3.3715758660827024,366,16,4.571428571428571
23,aes-gcm-siv,text_medium,350,98,99,3.405979701450893,3.3715758660827024,366,16,4.571428571428571
24,aes-gcm-siv,text_medium,350,98,99,3.405979701450893,3.3715758660827024,366,16,4.571428571428571
25,aes-gcm-siv,text_medium,350,98,97,3.405979701450893,3.4410928942493557,366,16,4.571428571428571
26,aes-gcm-siv,text_medium,350,97,97,3.4410928942493557,3.4410928942493557,366,16,4.571428571428571
27,aes-gcm-siv,text_medium,350,96,97,3.476937611897786,3.4410928942493557,366,16,4.571428571428571
28,aes-gcm-siv,text_medium,350,97,97,3.4410928942493557,3.4410928942493557,366,16,4.571428571428571
29,aes-gcm-siv,text_medium,350,97,97,3.4410928942493557,3.4410928942493557,366,16,4.571428571428571
30,aes-gcm-siv,text_medium,350,97,97,3.4410928942493557,3.4410928942493557,366,16,4.571428571428571
1,aes-gcm,text_medium,350,81,79,4.120814947434414,4.225139376483386,366,16,4.571428571428571
2,aes-gcm,text_medium,350,80,80,4.172325134277344,4.172325134277344,366,16,4.571428571428571
3,aes-gcm,text_medium,350,80,80,4.172325134277344,4.172325134277344,366,16,4.571428571428571
4,aes-gcm,text_medium,350,80,79,4.172325134277344,4.225139376483386,366,16,4.571428571428571
5,aes-gcm,text_medium,350,80,80,4.172325134277344,4.172325134277344,366,16,4.571428571428571
6,aes-gcm,text_medium,350,79,78,4.225139376483386,4.279307830028045,366,16,4.571428571428571
7,aes-gcm,text_medium,350,78,78,4.279307830028045,4.279307830028045,366,16,4.571428571428571
8,aes-gcm,text_medium,350,78,79,4.279307830028045,4.225139376483386,366,16,4.571428571428571
9,aes-gcm,text_medium,350,78,79,4.279307830028045,4.225139376483386,366,16,4.571428571428571
10,aes-gcm,text_medium,350,78,79,4.279307830028045,4.225139376483386,366,16,4.571428571428571
11,aes-gcm,text_medium,350,79,79,4.225139376483386,4.225139376483386,366,16,4.571428571428571
12,aes-gcm,text_medium,350,79,79,4.225139376483386,4.225139376483386,366,16,4.571428571428571
13,aes-gcm,text_medium,350,79,79,4.225139376483386,4.225139376483386,366,16,4.571428571428571
14,aes-gcm,text_medium,350,78,79,4.279307830028045,4.225139376483386,366,16,4.571428571428571
15,aes-gcm,text_medium,350,78,78,4.279307830028045,4.279307830028045,366,16,4.571428571428571
16,aes-gcm,text_medium,350,79,79,4.225139376483386,4.225139376483386,366,16,4.571428571428571
17,aes-gcm,text_medium,350,79,78,4.225139376483386,4.279307830028045,366,16,4.571428571428571
18,aes-gcm,text_medium,350,78,79,4.279307830028045,4.225139376483386,366,16,4.571428571428571
19,aes-gcm,text_medium,350,78,79,4.279307830028045,4.225139376483386,366,16,4.571428571428571
20,aes-gcm,text_medium,350,79,79,4.225139376483386,4.225139376483386,366,16,4.571428571428571
21,aes-gcm,text_medium,350,79,78,4.225139376483386,4.279307830028045,366,16,4.571428571428571
22,aes-gcm,text_medium,350,79,79,4.225139376483386,4.225139376483386,366,16,4.571428571428571
23,aes-gcm,text_medium,350,78,78,4.279307830028045,4.279307830028045,366,16,4.571428571428571
24,aes-gcm,text_medium,350,79,79,4.225139376483386,4.225139376483386,366,16,4.571428571428571
25,aes-gcm,text_medium,350,79,79,4.225139376483386,4.225139376483386,366,16,4.571428571428571
26,aes-gcm,text_medium,350,79,80,4.225139376483386,4.172325134277344,366,16,4.571428571428571
27,aes-gcm,text_medium,350,79,79,4.225139376483386,4.225139376483386,366,16,4.571428571428571
28,aes-gcm,text_medium,350,78,78,4.279307830028045,4.279307830028045,366,16,4.571428571428571
29,aes-gcm,text_medium,350,78,79,4.279307830028045,4.225139376483386,366,16,4.571428571428571
30,aes-gcm,text_medium,350,78,78,4.279307830028045,4.279307830028045,366,16,4.571428571428571
1,aes-gcm-siv,text_long,2000,322,321,5.923442959045031,5.941896052375389,2016,16,0.8
2,aes-gcm-siv,text_long,2000,321,344,5.941896052375389,5.544618118640988,2016,16,0.8
