iteration,config,data_type,data_size_bytes,enc_time_us,dec_time_us,enc_throughput_mbs,dec_throughput_mbs,overhead_bytes,overhead_pct,memory_mb
26,no-ecdh,text-small,100,92.125,91.166,1.0351960015264585,1.0460855103945002,16,16.0,0.00022125244140625
27,no-ecdh,text-small,100,92.875,91.333,1.026836410666218,1.0441727704184138,16,16.0,0.00022125244140625
28,no-ecdh,text-small,100,92.0,91.209,1.0366025178328804,1.0455923389207753,16,16.0,0.00022125244140625
29,no-ecdh,text-small,100,92.584,91.0,1.0300638516441825,1.0479937542925823,16,16.0,0.00022125244140625
30,no-ecdh,text-small,100,91.708,91.75,1.039903079781753,1.0394270478542236,16,16.0,0.00022125244140625
1,aes-gcm-only,text-small,100,66.083,60.458000000000006,1.4431462197634037,1.5774162499689866,16,16.0,0.00022125244140625
2,aes-gcm-only,text-small,100,61.875,59.459,1.5412918244949496,1.6039191987861383,16,16.0,0.00022125244140625
3,aes-gcm-only,text-small,100,61.291999999999994,59.541,1.5559523533352642,1.6017102776343193,16,16.0,0.00022125244140625
4,aes-gcm-only,text-small,100,61.0,59.75,1.5634005186987705,1.5961076425209204,16,16.0,0.00022125244140625
5,aes-gcm-only,text-small,100,61.0,59.542,1.5634005186987705,1.6016833771224515,16,16.0,0.00022125244140625
6,aes-gcm-only,text-small,100,60.958,59.917,1.564477700066029,1.591658988945124,16,16.0,0.00022125244140625
7,aes-gcm-only,text-small,100,59.666000000000004,54.542,1.598354701850719,1.748513652609457,16,16.0,0.00022125244140625
8,aes-gcm-only,text-small,100,56.625,55.541999999999994,1.6841930532560707,1.717032725516276,16,16.0,0.00022125244140625
9,aes-gcm-only,text-small,100,56.916999999999994,55.458000000000006,1.6755526756614896,1.7196334458621838,16,16.0,0.00022125244140625
10,aes-gcm-only,text-small,100,56.5,55.208,1.6879191440818584,1.7274205122559232,16,16.0,0.00022125244140625
11,aes-gcm-only,text-small,100,56.583,55.042,1.6854431832993126,1.7326302031289742,16,16.0,0.00022125244140625
12,aes-gcm-only,text-small,100,56.333,55.667,1.69292300499929,1.7131771361960406,16,16.0,0.00022125244140625
13,aes-gcm-only,text-small,100,56.542,55.333,1.686665339758498,1.7235181833738455,16,16.0,0.00022125244140625
14,aes-gcm-only,text-small,100,56.833999999999996,55.791999999999994,1.67799964177473,1.7093388234984408,16,16.0,0.00022125244140625
15,aes-gcm-only,text-small,100,56.375,55.208999999999996,1.6916617585920177,1.7273892235074897,16,16.0,0.00022125244140625
16,aes-gcm-only,text-small,100,52.792,51.958,1.806475065173227,1.8354715662770893,16,16.0,0.00022125244140625
17,aes-gcm-only,text-small,100,58.375,52.208,1.6337033257494646,1.8266823406494215,16,16.0,0.00022125244140625
18,aes-gcm-only,text-small,100,62.12500000000001,57.625,1.5350894429074444,1.6549662757592192,16,16.0,0.00022125244140625
19,aes-gcm-only,text-small,100,52.917,51.5,1.8022078281199803,1.8517947891383495,16,16.0,0.00022125244140625
20,aes-gcm-only,text-small,100,53.167,51.75,1.7937335497700642,1.8428489205917875,16,16.0,0.00022125244140625
21,aes-gcm-only,text-small,100,52.792,52.166999999999994,1.806475065173227,1.8281179987468132,16,16.0,0.00022125244140625
22,aes-gcm-only,text-small,100,53.083,51.958,1.7965720031012753,1.8354715662770893,16,16.0,0.00022125244140625
23,aes-gcm-only,text-small,100,54.208,51.916999999999994,1.759287035873395,1.8369210786567984,16,16.0,0.00022125244140625
24,aes-gcm-only,text-small,100,52.792,51.916999999999994,1.806475065173227,1.8369210786567984,16,16.0,0.00022125244140625
25,aes-gcm-only,text-small,100,50.666,49.833000000000006,1.8822767070742707,1.9137405261699074,16,16.0,0.00022125244140625
26,aes-gcm-only,text-small,100,50.25,49.583000000000006,1.8978593361318408,1.9233897029349776,16,16.0,0.00022125244140625
27,aes-gcm-only,text-small,100,50.167,49.166000000000004,1.9009992951666432,1.9397028767974818,16,16.0,0.00022125244140625
28,aes-gcm-only,text-small,100,50.167,49.291,1.9009992951666432,1.9347838680616136,16,16.0,0.00022125244140625
29,aes-gcm-only,text-small,100,50.666,49.666999999999994,1.8822767070742707,1.9201367435243724,16,16.0,0.00022125244140625
30,aes-gcm-only,text-small,100,50.625,49.625,1.8838011188271606,1.9217618466624684,16,16.0,0.00022125244140625
1,no-hkdf,text-medium,350,114.458,111.667,2.9162313751960327,2.9891195316627788,16,4.571428571428571,0.000698089599609375
2,no-hkdf,text-medium,350,111.542,110.917,2.992469300731451,3.0093313986331,16,4.571428571428571,0.000698089599609375
3,no-hkdf,text-medium,350,112.54199999999999,110.542,2.9658795004726013,3.0195401814892757,16,4.571428571428571,0.000698089599609375
4,no-hkdf,text-medium,350,111.833,108.25,2.9846826137382303,3.0834735403435336,16,4.571428571428571,0.000698089599609375
5,no-hkdf,text-medium,350,106.41699999999999,110.29199999999999,3.13658542095894,3.02638460398023,16,4.571428571428571,0.000698089599609375
6,no-hkdf,text-medium,350,107.209,105.79100000000001,3.1134140859646813,3.1551456243176403,16,4.571428571428571,0.000698089599609375
7,no-hkdf,text-medium,350,106.459,106.083,3.1353479813091187,3.146460891398127,16,4.571428571428571,0.000698089599609375
8,no-hkdf,text-medium,350,107.166,108.875,3.114663332980493,3.065772773751435,16,4.571428571428571,0.000698089599609375
9,no-hkdf,text-medium,350,125.959,126.625,2.649957611144797,2.6360198281712734,16,4.571428571428571,0.000698089599609375
10,no-hkdf,text-medium,350,106.833,105.541,3.124371783458178,3.1626193682283428,16,4.571428571428571,0.000698089599609375
11,no-hkdf,text-medium,350,108.5,105.875,3.0763687626008065,3.152642368285124,16,4.571428571428571,0.000698089599609375
12,no-hkdf,text-medium,350,106.792,106.41600000000001,3.125571304425308,3.136614895712933,16,4.571428571428571,0.000698089599609375
13,no-hkdf,text-medium,350,106.709,104.125,3.128002424745687,3.2056279543067228,16,4.571428571428571,0.000698089599609375
14,no-hkdf,text-medium,350,105.834,102.0,3.1538636992099653,3.272411870021446,16,4.571428571428571,0.000698089599609375
15,no-hkdf,text-medium,350,102.875,102.042,3.2445784762302554,3.2710649609198907,16,4.571428571428571,0.000698089599609375
16,no-hkdf,text-medium,350,102.542,102.458,3.2551150820365073,3.257783782058868,16,4.571428571428571,0.000698089599609375
17,no-hkdf,text-medium,350,102.791,102.0,3.247229920345045,3.272411870021446,16,4.571428571428571,0.000698089599609375
18,no-hkdf,text-medium,350,102.584,102.292,3.2537823709563622,3.2630705308546855,16,4.571428571428571,0.000698089599609375
19,no-hkdf,text-medium,350,117.0,103.5,2.8528718866853633,3.224985611035628,16,4.571428571428571,0.000698089599609375
20,no-hkdf,text-medium,350,104.792,102.042,3.1852241654151796,3.2710649609198907,16,4.571428571428571,0.000698089599609375
21,no-hkdf,text-medium,350,103.167,102.458,3.2353951432356034,3.257783782058868,16,4.571428571428571,0.000698089599609375
22,no-hkdf,text-medium,350,112.083,102.584,2.978025309299247,3.2537823709563622,16,4.571428571428571,0.000698089599609375
23,no-hkdf,text-medium,350,100.0,99.375,3.337860107421875,3.3588529382861636,16,4.571428571428571,0.000698089599609375
24,no-hkdf,text-medium,350,99.209,99.084,3.364473089560297,3.3687175602739847,16,4.571428571428571,0.000698089599609375
25,no-hkdf,text-medium,350,101.125,99.292,3.300726929465389,3.3616606649295764,16,4.571428571428571,0.000698089599609375
26,no-hkdf,text-medium,350,99.625,99.0,3.350424198164994,3.3715758660827024,16,4.571428571428571,0.000698089599609375
27,no-hkdf,text-medium,350,99.667,99.416,3.3490123184422878,3.3574677189002524,16,4.571428571428571,0.000698089599609375
28,no-hkdf,text-medium,350,99.291,98.708,3.3616945215798766,3.3815497299326043,16,4.571428571428571,0.000698089599609375
29,no-hkdf,text-medium,350,101.166,97.042,3.2993892290115996,3.4396035813584582,16,4.571428571428571,0.000698089599609375
30,no-hkdf,text-medium,350,98.25,97.334,3.3973130864344783,3.4292848412906847,16,4.571428571428571,0.000698089599609375
1,no-ecdh,text-medium,350,97.875,97.833,3.4103296116698596,3.41179367638923,16,4.571428571428571,0.000698089599609375
2,no-ecdh,text-medium,350,99.209,97.166,3.364473089560297,3.4352140742871735,16,4.571428571428571,0.000698089599609375
3,no-ecdh,text-medium,350,97.125,97.25,3.4366642032657655,3.4322468970919022,16,4.571428571428571,0.000698089599609375
4,no-ecdh,text-medium,350,98.083,97.25,3.403097486232961,3.4322468970919022,16,4.571428571428571,0.000698089599609375
5,no-ecdh,text-medium,350,98.333,96.792,3.394445514142633,3.4484875892861755,16,4.571428571428571,0.000698089599609375
6,no-ecdh,text-medium,350,96.583,96.291,3.4559499160534206,3.466429995972495,16,4.571428571428571,0.000698089599609375
7,no-ecdh,text-medium,350,96.417,95.417,3.4618999838429687,3.4981817783223903,16,4.571428571428571,0.000698089599609375
8,no-ecdh,text-medium,350,96.75,95.958,3.449984607154393,3.4784594379018685,16,4.571428571428571,0.000698089599609375
9,no-ecdh,text-medium,350,96.41600000000001,96.042,3.461935889709047,3.4754171169091386,16,4.571428571428571,0.000698089599609375
10,no-ecdh,text-medium,350,103.125,97.834,3.236712831439394,3.411758803096955,16,4.571428571428571,0.000698089599609375
11,no-ecdh,text-medium,350,96.708,96.042,3.4514829253235257,3.4754171169091386,16,4.571428571428571,0.000698089599609375
12,no-ecdh,text-medium,350,96.333,96.667,3.464918675243037,3.4529468251025426,16,4.571428571428571,0.000698089599609375
13,no-ecdh,text-medium,350,97.041,95.95899999999999,3.4396390262073506,3.4784231884678616,16,4.571428571428571,0.000698089599609375
14,no-ecdh,text-medium,350,97.208,96.375,3.433729844685494,3.4634086717736707,16,4.571428571428571,0.000698089599609375
15,no-ecdh,text-medium,350,96.833,96.75,3.4470274673116346,3.449984607154393,16,4.571428571428571,0.000698089599609375
16,no-ecdh,text-medium,350,96.459,96.5,3.460392609732503,3.458922391110751,16,4.571428571428571,0.000698089599609375
17,no-ecdh,text-medium,350,96.875,96.417,3.4455330141129035,3.4618999838429687,16,4.571428571428571,0.000698089599609375
18,no-ecdh,text-medium,350,97.625,96.625,3.4190628501120357,3.4544477179010347,16,4.571428571428571,0.000698089599609375
19,no-ecdh,text-medium,350,96.375,96.208,3.4634086717736707,3.4694205340739597,16,4.571428571428571,0.000698089599609375
20,no-ecdh,text-medium,350,96.958,96.41600000000001,3.442583497413184,3.461935889709047,16,4.571428571428571,0.000698089599609375
21,no-ecdh,text-medium,350,96.959,96.375,3.44254799185416,3.4634086717736707,16,4.571428571428571,0.000698089599609375
22,no-ecdh,text-medium,350,96.708,96.208,3.4514829253235257,3.4694205340739597,16,4.571428571428571,0.000698089599609375
23,no-ecdh,text-medium,350,104.834,96.375,3.1839480582844066,3.4634086717736707,16,4.571428571428571,0.000698089599609375
24,no-ecdh,text-medium,350,97.0,96.375,3.4410928942493557,3.4634086717736707,16,4.571428571428571,0.000698089599609375
25,no-ecdh,text-medium,350,97.08399999999999,96.0,3.438115557065917,3.476937611897786,16,4.571428571428571,0.000698089599609375
26,no-ecdh,text-medium,350,96.833,95.875,3.4470274673116346,3.481470776971969,16,4.571428571428571,0.000698089599609375
27,no-ecdh,text-medium,350,96.542,96.292,3.457417608317494,3.466393996824113,16,4.571428571428571,0.000698089599609375
28,no-ecdh,text-medium,350,96.833,98.5,3.4470274673116346,3.3886904643876905,16,4.571428571428571,0.000698089599609375
29,no-ecdh,text-medium,350,96.75,96.209,3.449984607154393,3.4693844727851606,16,4.571428571428571,0.000698089599609375
30,no-ecdh,text-medium,350,97.209,96.375,3.4336945215174266,3.4634086717736707,16,4.571428571428571,0.000698089599609375
1,aes-gcm-only,text-medium,350,88.459,79.667,3.773341443405278,4.189765031219796,16,4.571428571428571,0.000698089599609375
2,aes-gcm-only,text-medium,350,83.70800000000001,78.292,3.9875043095306,4.263347605658145,16,4.571428571428571,0.000698089599609375
3,aes-gcm-only,text-medium,350,79.166,78.70800000000001,4.216279851731646,4.240814284979766,16,4.571428571428571,0.000698089599609375
4,aes-gcm-only,text-medium,350,79.5,78.208,4.198566172857705,4.267926692182226,16,4.571428571428571,0.000698089599609375
5,aes-gcm-only,text-medium,350,79.83399999999999,78.208,4.181000710752155,4.267926692182226,16,4.571428571428571,0.000698089599609375
6,aes-gcm-only,text-medium,350,90.125,79.667,3.7035895782766994,4.189765031219796,16,4.571428571428571,0.000698089599609375
7,aes-gcm-only,text-medium,350,119.917,81.29199999999999,2.7834753266191408,4.106013023940702,16,4.571428571428571,0.000698089599609375
8,aes-gcm-only,text-medium,350,80.25,81.25,4.159327236662772,4.108135516826923,16,4.571428571428571,0.000698089599609375
9,aes-gcm-only,text-medium,350,80.125,78.625,4.165816046704369,4.245291074622417,16,4.571428571428571,0.000698089599609375
10,aes-gcm-only,text-medium,350,106.959,80.708,3.1206912063705485,4.135723977080184,16,4.571428571428571,0.000698089599609375
11,aes-gcm-only,text-medium,350,79.958,78.54100000000001,4.17451675557402,4.2498314350745146,16,4.571428571428571,0.000698089599609375
12,aes-gcm-only,text-medium,350,79.791,78.917,4.183253885052043,4.229583115706216,16,4.571428571428571,0.000698089599609375
13,aes-gcm-only,text-medium,350,79.791,78.70899999999999,4.183253885052043,4.240760405318166,16,4.571428571428571,0.000698089599609375
14,aes-gcm-only,text-medium,350,79.292,78.833,4.209579916538711,4.2340899209999305,16,4.571428571428571,0.000698089599609375
15,aes-gcm-only,text-medium,350,80.79100000000001,78.375,4.131475173499369,4.258832672946571,16,4.571428571428571,0.000698089599609375
16,aes-gcm-only,text-medium,350,94.917,80.25,3.5166093612544382,4.159327236662772,16,4.571428571428571,0.000698089599609375
17,aes-gcm-only,text-medium,350,77.833,76.75,4.288489596214813,4.349003397292345,16,4.571428571428571,0.000698089599609375
18,aes-gcm-only,text-medium,350,77.75,76.125,4.293067662278939,4.384709500718391,16,4.571428571428571,0.000698089599609375
19,aes-gcm-only,text-medium,350,73.625,77.041,4.533596071201188,4.3325763001802615,16,4.571428571428571,0.000698089599609375
20,aes-gcm-only,text-medium,350,74.334,77.083,4.490354491110225,4.3302156213716065,16,4.571428571428571,0.000698089599609375
21,aes-gcm-only,text-medium,350,78.208,77.208,4.267926692182226,4.32320498837151,16,4.571428571428571,0.000698089599609375
22,aes-gcm-only,text-medium,350,78.583,77.333,4.247560041512636,4.3162170191533695,16,4.571428571428571,0.000698089599609375
23,aes-gcm-only,text-medium,350,78.875,77.375,4.231835318442948,4.313874129139742,16,4.571428571428571,0.000698089599609375
24,aes-gcm-only,text-medium,350,78.792,74.75,4.2362931610085734,4.4653646922031776,16,4.571428571428571,0.000698089599609375
25,aes-gcm-only,text-medium,350,75.0,74.167,4.450480143229167,4.500465311286523,16,4.571428571428571,0.000698089599609375
26,aes-gcm-only,text-medium,350,74.208,77.334,4.497978799350306,4.316161206483403,16,4.571428571428571,0.000698089599609375
27,aes-gcm-only,text-medium,350,78.125,77.208,4.2724609375,4.32320498837151,16,4.571428571428571,0.000698089599609375
28,aes-gcm-only,text-medium,350,85.834,77.375,3.888738853393614,4.313874129139742,16,4.571428571428571,0.000698089599609375
29,aes-gcm-only,text-medium,350,77.875,82.58399999999999,4.286176702949438,4.041775776690249,16,4.571428571428571,0.000698089599609375
30,aes-gcm-only,text-medium,350,81.0,77.375,4.120814947434414,4.313874129139742,16,4.571428571428571,0.000698089599609375
1,no-hkdf,text-large,2000,321.0,317.25,5.941896052375389,6.012131230299449,16,0.8,0.00384521484375
2,no-hkdf,text-large,2000,321.666,317.5,5.929593531217162,6.007397268700787,16,0.8,0.00384521484375
3,no-hkdf,text-large,2000,318.25,316.75,5.993240008837391,6.0216215716258885,16,0.8,0.00384521484375
4,no-hkdf,text-large,2000,317.209,317.084,6.012908312224748,6.0152787047359695,16,0.8,0.00384521484375
5,no-hkdf,text-large,2000,316.75,317.25,6.0216215716258885,6.012131230299449,16,0.8,0.00384521484375
6,no-hkdf,text-large,2000,317.291,316.583,6.011354349201522,6.0247980239384304,16,0.8,0.00384521484375
7,no-hkdf,text-large,2000,325.66700000000003,343.916,5.856745180851913,5.545972367707522,16,0.8,0.00384521484375
8,no-hkdf,text-large,2000,291.833,397.75,6.53575377977302,4.795345399905719,16,0.8,0.00384521484375
9,no-hkdf,text-large,2000,303.792,317.291,6.278468928781864,6.011354349201522,16,0.8,0.00384521484375
10,no-hkdf,text-large,2000,308.666,318.042,6.179328571376504,5.997159597828275,16,0.8,0.00384521484375
11,no-hkdf,text-large,2000,313.917,317.375,6.0759647703453465,6.009763317250886,16,0.8,0.00384521484375
12,no-hkdf,text-large,2000,332.16700000000003,324.75,5.742137638032977,5.873282933987682,16,0.8,0.00384521484375
13,no-hkdf,text-large,2000,298.084,287.125,6.398695108803223,6.6429207934262084,16,0.8,0.00384521484375
14,no-hkdf,text-large,2000,303.45799999999997,317.70799999999997,6.2853793039316805,6.003464290519911,16,0.8,0.00384521484375
15,no-hkdf,text-large,2000,309.25,325.125,6.1676592815278894,5.866508674548251,16,0.8,0.00384521484375
16,no-hkdf,text-large,2000,307.45799999999997,330.083,6.203607103449903,5.778390988970956,16,0.8,0.00384521484375
17,no-hkdf,text-large,2000,312.375,314.91700000000003,6.105958008203282,6.056670909517428,16,0.8,0.00384521484375
18,no-hkdf,text-large,2000,312.58399999999995,318.209,6.101875440881492,5.9940122146529475,16,0.8,0.00384521484375
19,no-hkdf,text-large,2000,330.25,329.042,5.77546898656321,5.796672257075085,16,0.8,0.00384521484375
20,no-hkdf,text-large,2000,288.167,287.25,6.6189002655144415,6.640030053307223,16,0.8,0.00384521484375
21,no-hkdf,text-large,2000,297.791,315.959,6.404990858731459,6.03669663726148,16,0.8,0.00384521484375
22,no-hkdf,text-large,2000,304.625,316.666,6.261300394952811,6.023218889342399,16,0.8,0.00384521484375
23,no-hkdf,text-large,2000,293.66700000000003,306.041,6.494936893871289,6.232330415900157,16,0.8,0.00384521484375
24,no-hkdf,text-large,2000,293.042,316.916,6.508789295775009,6.018467457662283,16,0.8,0.00384521484375
25,no-hkdf,text-large,2000,304.167,325.416,6.270728359133305,5.86126260790035,16,0.8,0.00384521484375
26,no-hkdf,text-large,2000,303.5,316.583,6.284509498558484,6.0247980239384304,16,0.8,0.00384521484375
27,no-hkdf,text-large,2000,315.0,317.0,6.055075024801587,6.016872658714511,16,0.8,0.00384521484375
28,no-hkdf,text-large,2000,308.625,316.708,6.18014947853382,6.022420124570582,16,0.8,0.00384521484375
29,no-hkdf,text-large,2000,311.08299999999997,316.292,6.131317470940232,6.030341054508177,16,0.8,0.00384521484375
30,no-hkdf,text-large,2000,308.416,314.584,6.184337494852731,6.063082142806055,16,0.8,0.00384521484375
1,no-ecdh,text-large,2000,310.166,307.54200000000003,6.149444596804614,6.201912690990174,16,0.8,0.00384521484375
2,no-ecdh,text-large,2000,316.792,307.166,6.020823230424064,6.209504413940671,16,0.8,0.00384521484375
3,no-ecdh,text-large,2000,319.209,325.08299999999997,5.97523451034432,5.867266614410782,16,0.8,0.00384521484375
4,no-ecdh,text-large,2000,311.542,321.666,6.122284099134307,5.929593531217162,16,0.8,0.00384521484375
5,no-ecdh,text-large,2000,320.0,308.0,5.960464477539062,6.19269036627435,16,0.8,0.00384521484375
6,no-ecdh,text-large,2000,319.875,311.959,5.962793693825713,6.114100355535503,16,0.8,0.00384521484375
7,no-ecdh,text-large,2000,308.375,316.208,6.185159733481962,6.031943002114114,16,0.8,0.00384521484375
8,no-ecdh,text-large,2000,315.58299999999997,321.33299999999997,6.043889033352557,5.935738417194935,16,0.8,0.00384521484375
9,no-ecdh,text-large,2000,327.792,308.416,5.818777251465869,6.184337494852731,16,0.8,0.00384521484375
10,no-ecdh,text-large,2000,315.625,316.25,6.043084777227723,6.031141921936759,16,0.8,0.00384521484375
11,no-ecdh,text-large,2000,313.20799999999997,316.75,6.089718758181465,6.0216215716258885,16,0.8,0.00384521484375
12,no-ecdh,text-large,2000,312.83299999999997,313.125,6.097018641935154,6.091332959081837,16,0.8,0.00384521484375
13,no-ecdh,text-large,2000,317.166,311.917,6.013723516431458,6.114923626517632,16,0.8,0.00384521484375
14,no-ecdh,text-large,2000,316.5,320.584,6.0263779867693525,5.9496064457755224,16,0.8,0.00384521484375
15,no-ecdh,text-large,2000,313.5,317.25,6.084046675637959,6.012131230299449,16,0.8,0.00384521484375
16,no-ecdh,text-large,2000,313.25,313.41700000000003,6.088902259577015,6.085657870544673,16,0.8,0.00384521484375
17,no-ecdh,text-large,2000,318.333,320.625,5.991677371848033,5.9488456384015596,16,0.8,0.00384521484375
18,no-ecdh,text-large,2000,313.875,316.792,6.076777802668259,6.020823230424064,16,0.8,0.00384521484375
19,no-ecdh,text-large,2000,312.792,315.41700000000003,6.097817824025231,6.047069856134894,16,0.8,0.00384521484375
20,no-ecdh,text-large,2000,323.0,324.083,5.905104126354489,5.885370824179299,16,0.8,0.00384521484375
21,no-ecdh,text-large,2000,318.541,312.834,5.987764943327547,6.096999152306015,16,0.8,0.00384521484375
22,no-ecdh,text-large,2000,312.5,316.95799999999997,6.103515625,6.017669952525256,16,0.8,0.00384521484375
23,no-ecdh,text-large,2000,312.416,312.125,6.105156691118573,6.110848643372046,16,0.8,0.00384521484375
24,no-ecdh,text-large,2000,317.25,312.0,6.012131230299449,6.113296900040064,16,0.8,0.00384521484375
25,no-ecdh,text-large,2000,317.666,312.54200000000003,6.004258034578772,6.102695422735184,16,0.8,0.00384521484375
